task_id,arrival_time_min,cpu_demand_pct,duration_min,latency_sla_min,node_id,queue_wait_min,start_time_min,end_time_min,completion_latency_min,migrated,sla_breached
1698,734.7686992817229,23.05551731178551,11.44060132618812,6.1161826763479805,7,0.0,734.7686992817229,746.209300607911,11.44060132618813,False,False
1699,734.7807458476387,17.331137528370284,21.351109990190693,6.495989514335145,7,0.0,734.7807458476387,756.1318558378294,21.351109990190707,False,False
1700,734.8605834569194,15.598310217078403,19.653180148478107,6.318825125924813,13,0.0,734.8605834569194,754.5137636053975,19.6531801484781,False,False
1538,681.663729970748,26.02659384313884,7.43587517981153,3.0030525389934963,1,53.50464743140151,735.1683774021495,742.6042525819611,60.940522611213055,False,True
1046,612.9773888736404,23.345515304428766,26.072034467607338,1.0195553857889732,15,123.03029233815153,736.0076812117919,762.0797156793992,149.10232680575882,False,True
1047,613.0124705353222,21.828929780625973,11.613865664659928,1.1955413599617857,15,122.9952106764697,736.0076812117919,747.6215468764518,134.6090763411296,False,True
1429,655.2565060977759,26.35454103072363,5.922515428386973,7.485441849026731,0,80.87710699969762,736.1336130974735,742.0561285258605,86.7996224280846,False,True
1701,736.2340061729799,6.195832500438694,22.297823340880548,3.176359870744904,8,0.0,736.2340061729799,758.5318295138604,22.29782334088054,False,False
1702,736.2354838094132,10.87547723708118,3.349943175001493,7.623030430798206,8,0.0,736.2354838094132,739.5854269844147,3.349943175001499,False,False
1430,655.3470381303968,8.803207512606779,5.910774870599813,5.782389207390021,0,80.98485532874099,736.3318934591377,742.2426683297375,86.89563019934076,False,True
1431,655.3569265302762,17.008384008623274,2.1505808857174116,6.050383819711963,0,80.97496692886159,736.3318934591377,738.4824743448552,83.12554781457902,False,True
1703,736.48378594114,26.055367400326503,29.14853383851331,1.9145999490540573,10,0.0,736.48378594114,765.6323197796534,29.148533838513345,False,False
1704,736.5487884184496,25.114514527104195,19.3224090867674,2.524159075646522,8,0.0,736.5487884184496,755.871197505217,19.32240908676738,False,False
1705,736.5611456532464,14.977246977576144,22.688294026501588,5.297308471486889,5,0.0,736.5611456532464,759.249439679748,22.68829402650158,False,False
1706,737.0744995292425,27.7877610725555,9.83955141022306,4.362665309156981,6,0.0,737.0744995292425,746.9140509394656,9.839551410223066,False,False
1433,655.5172959768046,15.1698431867961,19.409600832731286,3.711508818583537,0,81.84032794602228,737.3576239228269,756.7672247555581,101.24992877875354,False,True
1707,737.478668188436,15.98557131184813,15.717843934089265,1.5139996980815738,14,0.0,737.478668188436,753.1965121225253,15.717843934089274,False,False
1708,738.3363132957788,21.19997948155373,7.239097835192288,4.175083769776089,16,0.0,738.3363132957788,745.5754111309711,7.239097835192297,False,False
1709,738.4430038715232,19.253282826167474,20.095559503105974,3.3676358752442628,14,0.0,738.4430038715232,758.5385633746291,20.09555950310596,False,False
1710,738.516094361072,7.73875206266306,28.175561833289755,7.45159583394908,16,0.0,738.516094361072,766.6916561943617,28.17556183328975,False,False
1466,659.5925129704957,23.314097971762397,21.295081849462868,1.0007615739840416,11,79.13083765329986,738.7233506237956,760.0184324732585,100.42591950276278,False,True
1711,738.9297363646237,8.93392214929087,23.86142572139558,5.213273859154101,19,0.0,738.9297363646237,762.7911620860193,23.861425721395563,False,False
1712,739.1062817142291,8.703905619019967,22.758850245960723,7.201037987263739,16,0.0,739.1062817142291,761.8651319601898,22.75885024596073,False,False
1713,739.2172372093956,19.62100323424274,25.71002897197081,1.3624776247819648,14,0.0,739.2172372093956,764.9272661813665,25.710028971970814,False,False
